museo_id,museo_nombre,museo_tematica_n1,museo_fecha_fundacion,museo_adscripcion,nom_ent,nom_mun,museo_calle_numero,museo_colonia,museo_cp,museo_telefono1,pagina_web,pagina_web2,pagina_web3,email,facebook,twitter,instagram,gmaps_longitud,gmaps_latitud,museo_salas_exhibicion_c,museo_salas_exhibicion_tmp_c,link_sic,fecha_mod,museo_num_ext,museo_calle,direccion_complemento,museo_descripcion
2311,Anfibium: Museo del Axolote y Centro de Conservación de Anfibios,8,2023-01-21,Gobierno de la Ciudad de México / SEDEMA,Ciudad de México,Miguel Hidalgo,"Calz. Chivatito s/n, ( entrada por Zoológico de Chapultepec)",Bosque de Chapultepec 1a. Sección,11850 ,,https://gobierno.cdmx.gob.mx/noticias/museo-del-axolote/,,,,,,https://www.instagram.com/chapultepeccdmx/,-99.18957,19.4241,0,0,http://sic.gob.mx/ficha.php?table=museo&table_id=2311,2023-03-02 05:08:14-06,s/n,"Calz. Chivatito , ( entrada por Zoológico de Chapultepec)",,
768,Antiguo Colegio de San Ildefonso,2,1994-03-14,UNAM/Secretaría de Cultura/Gobierno de la Ciudad de México,Ciudad de México,Cuauhtémoc,Justo Sierra 16,Centro Histórico,06020, 55 3602 0029,http://www.sanildefonso.org.mx/,,,informes@sanildefonso.org.mx,https://www.facebook.com/ColegioSanIldefonso/,SanIldefonsoMx,,-99.13058,19.43585,-1,-1,http://sic.gob.mx/ficha.php?table=museo&table_id=768,2024-02-07 05:28:54-06,16,Justo Sierra,,
1335,Casa Museo Benita Galeana,7,2000-06-08,Alcaldía  Benito Juárez/Coordinación de Cultura/Subdirección de Derechos Culturales Recreativos y Educativos,Ciudad de México,Benito Juárez,Cda. Zutano 11,Col. Periodista,03620,"55 5609 1687, 55 5243 5732",https://benitagaleanacmuse.wixsite.com/casamuseobenita,https://www.mexicoescultura.com/recinto/56883/casa-museo-benita-galeana.html,,museo_benita@hotmail.com; benitagaleanacmuseo@gmail.com; abj.cultura@gmailcom,https://es-la.facebook.com/CasaMuseoBenitaGaleana/,,,-99.14548,19.38281,2,1,http://sic.gob.mx/ficha.php?table=museo&table_id=1335,2024-06-05 10:22:36-06,11,Cda. Zutano,,
2069,Casa Museo Guillermo Tovar de Teresa,2,2018-12-20,"Fundación Carlos Slim, AC",Ciudad de México,Cuauhtémoc,Calle Valladolid 52,Col. Roma,06700,55 1103 9800,http://www.museosoumaya.org/inicio/exposiciones/casa-guillermo-tovar-de-teresa/,,,,https://www.facebook.com/elmuseosoumaya/,ElMuseoSoumaya,,-99.16816,19.42005,0,0,http://sic.gob.mx/ficha.php?table=museo&table_id=2069,2024-02-27 11:30:00-06,52,Calle Valladolid,,
2216,Casa Rivas Mercado,8,2017-05-10,Fundación Rivas Mercado/Secretaría de Cultura de la Ciudad de México,Ciudad de México,Cuauhtémoc,Héroes 53,Col. Guerrero,06300,55 8320 9195,https://casarivasmercado.com/,,,visitas@casarivasmercado.com,https://www.facebook.com/casarivasmercado/,,https://www.instagram.com/casarivasmercado/,-99.1468,19.44039,0,0,http://sic.gob.mx/ficha.php?table=museo&table_id=2216,2023-05-03 06:42:46-06,53,Héroes,,
2188,Casa-Estudio Leonora Carrington (Cerrada Temporalmente),8,2021-03-01,Universidad Autónoma Metropolitana (UAM),Ciudad de México,Cuauhtémoc,Chihuahua 194,Col. Roma,06700,,https://casaleonoracarrington.uam.mx/,,,casaleonoracarringtonuam@gmail.com,https://www.facebook.com/casacarrington.uam,casacarrington,https://www.instagram.com/casacarrington.uam/?utm_source=ig_embed,-99.15638,19.41801,0,0,http://sic.gob.mx/ficha.php?table=museo&table_id=2188,2024-02-06 06:08:22-06,194,Chihuahua,,
2194,Cencalli: Casa del Maíz y la Cultura Alimentaria,8,2021-09-29,Secretaría de Cultura/Gobierno de la Ciudad de México,Ciudad de México,Miguel Hidalgo,Av. Parque Lira s/n,"Col. Bosque de Chapultepec, 1a. Sección.",11850,55 4155 0200 ext. 2412,https://chapultepec.cultura.gob.mx/oferta-cultural/los-pinos/cencalli/,,,contactolospinos@cutura.gob.mx,,,,-99.192,19.41717,8,1,http://sic.gob.mx/ficha.php?table=museo&table_id=2194,2024-02-29 13:36:59-06,s/n,Av. Parque Lira,,
1518,Centro de Interpretación Xaltilolli,4,2021-11-30,UNAM/Centro Cultural Universitario Tlatelolco,Ciudad de México,Cuauhtémoc,Av. Ricardo Flores Magón s/n,Col. Nonoalco Tlatelolco,06900,55 5517 2818,,https://cix.unam.mx/,,dg_ccut@unam.mx,https://www.facebook.com/CCUTXaltilolli,ccutlatelolco,,-99.13712,19.44988,1,1,http://sic.gob.mx/ficha.php?table=museo&table_id=1518,2024-06-27 13:04:11-06,s/n,Av. Ricardo Flores Magón,,
771,Ex Teresa Arte Actual,3,1993-05-26,Secretaría de Cultura/INBAL,Ciudad de México,Cuauhtémoc,Licenciado Primo Verdad 8,Centro,06060,55 4122 8020,https://inba.gob.mx/recinto/55/ex-teresa-arte-actual,,,exteresa.difusion@inba.gob.mx,https://www.facebook.com/EXTAA/,exteresa,,-99.13075,19.43403,-1,-1,http://sic.gob.mx/ficha.php?table=museo&table_id=771,2023-05-17 07:08:27-06,8,Licenciado Primo Verdad,,
1245,Fundación María y Héctor García,2,2008-10-28,Fundación María y Héctor García,Ciudad de México,Benito Juárez,Cumbres de Maltrata 581,Col. 2da. del Periodista,03620,55 5532 6270,https://www.fundacionmariayhectorgarcia.com/,,,fundacion.hg@gmail.com,https://www.facebook.com/fundacion.garcia,,https://www.instagram.com/fundacionmariayhectorgarcia/,-99.14471,19.38265,-1,-1,http://sic.gob.mx/ficha.php?table=museo&table_id=1245,2024-06-28 11:08:49-06,581,Cumbres de Maltrata,,
